Datetime,Price,Ravg30,AIL
01/03/2026 0:00,13.36,21.91,10601
28/02/2026 23:00,16.25,21.91,10817
28/02/2026 22:00,23.25,21.91,11010
28/02/2026 21:00,24.27,21.9,11114
28/02/2026 20:00,32.85,21.88,11155
28/02/2026 19:00,83.19,21.88,11148
28/02/2026 18:00,134.16,21.81,11061
28/02/2026 17:00,28.99,21.76,10964
28/02/2026 16:00,21.61,21.89,10900
28/02/2026 15:00,19.1,21.91,10917
28/02/2026 14:00,20.24,21.93,11009
28/02/2026 13:00,23.21,21.94,11079
28/02/2026 12:00,27.63,21.94,11109
28/02/2026 11:00,30.65,21.97,11119
28/02/2026 10:00,49.18,21.99,11048
28/02/2026 9:00,827.67,21.96,11031
28/02/2026 8:00,170.38,20.9,10946
28/02/2026 7:00,42.14,20.73,10742
28/02/2026 6:00,30.55,20.71,10543
28/02/2026 5:00,27.71,20.69,10493
28/02/2026 4:00,31.24,20.67,10480
28/02/2026 3:00,32.87,20.65,10540
28/02/2026 2:00,44.87,20.63,10639
28/02/2026 1:00,35.97,20.6,10764
28/02/2026 0:00,28.62,20.59,10947
27/02/2026 23:00,27.49,20.6,11188
27/02/2026 22:00,30.41,20.61,11432
27/02/2026 21:00,31.13,20.65,11628
27/02/2026 20:00,32.16,20.68,11700
27/02/2026 19:00,32.16,20.77,11783
27/02/2026 18:00,32.33,20.84,11762
27/02/2026 17:00,29.68,20.94,11675
27/02/2026 16:00,21.02,20.97,11583
27/02/2026 15:00,22.34,20.98,11579
27/02/2026 14:00,25.24,20.99,11599
27/02/2026 13:00,26.07,20.98,11593
27/02/2026 12:00,31.75,20.97,11635
27/02/2026 11:00,36.26,20.95,11601
27/02/2026 10:00,34.96,20.93,11568
27/02/2026 9:00,32.34,20.93,11457
27/02/2026 8:00,31.72,20.93,11273
27/02/2026 7:00,29.99,20.92,10940
27/02/2026 6:00,24.3,20.92,10576
27/02/2026 5:00,22.94,20.93,10381
27/02/2026 4:00,19.92,20.94,10325
27/02/2026 3:00,15.36,20.95,10366
27/02/2026 2:00,10.9,20.97,10417
27/02/2026 1:00,8.84,21,10553
27/02/2026 0:00,10.96,21.03,10792
26/02/2026 23:00,1.78,21.05,11048
26/02/2026 22:00,1.84,21.08,11275
26/02/2026 21:00,9.35,21.13,11399
26/02/2026 20:00,9.98,21.18,11506
26/02/2026 19:00,6.49,21.22,11512
26/02/2026 18:00,1.03,21.32,11449
26/02/2026 17:00,0,21.44,11380
26/02/2026 16:00,0,21.52,11313
26/02/2026 15:00,0,21.56,11232
26/02/2026 14:00,0.01,21.59,11231
26/02/2026 13:00,0.9,21.62,11098
26/02/2026 12:00,0.61,21.64,11115
26/02/2026 11:00,0.01,21.67,11153
26/02/2026 10:00,0,21.69,11134
26/02/2026 9:00,0,21.72,11099
26/02/2026 8:00,7.26,21.77,11043
26/02/2026 7:00,13.56,21.8,10743
26/02/2026 6:00,6.54,21.81,10386
26/02/2026 5:00,0,21.83,10250
26/02/2026 4:00,0,21.85,10193
26/02/2026 3:00,0.01,21.88,10233
26/02/2026 2:00,0.01,21.92,10291
26/02/2026 1:00,0,21.96,10396
26/02/2026 0:00,0,22,10578
25/02/2026 23:00,12.92,22.04,10862
25/02/2026 22:00,15.26,22.06,11120
25/02/2026 21:00,14.92,22.08,11313
25/02/2026 20:00,1.49,22.11,11441
25/02/2026 19:00,0,22.17,11492
25/02/2026 18:00,0,22.24,11348
25/02/2026 17:00,0,22.36,11174
25/02/2026 16:00,0,22.51,11117
25/02/2026 15:00,0,22.59,11111
25/02/2026 14:00,0,22.64,11183
25/02/2026 13:00,3.85,22.7,11142
25/02/2026 12:00,0,22.76,11194
25/02/2026 11:00,0,22.83,11234
25/02/2026 10:00,0,22.88,11314
25/02/2026 9:00,0,22.94,11279
25/02/2026 8:00,7.77,23.04,11207
25/02/2026 7:00,9.79,23.12,10855
25/02/2026 6:00,0,23.16,10486
25/02/2026 5:00,0,23.2,10272
25/02/2026 4:00,0,23.23,10204
25/02/2026 3:00,0.01,23.25,10234
25/02/2026 2:00,3.13,23.28,10345
25/02/2026 1:00,9.79,23.3,10448
25/02/2026 0:00,3.12,23.32,10600
24/02/2026 23:00,6.1,23.34,10822
24/02/2026 22:00,15.31,23.36,11100
24/02/2026 21:00,19.08,23.36,11323
24/02/2026 20:00,20.92,23.36,11487
24/02/2026 19:00,27.09,23.35,11512
24/02/2026 18:00,40.62,23.34,11451
24/02/2026 17:00,21.39,23.31,11341
24/02/2026 16:00,14.28,23.31,11236
24/02/2026 15:00,12.98,23.29,11162
24/02/2026 14:00,12.5,23.29,11162
24/02/2026 13:00,14.95,23.3,11252
24/02/2026 12:00,20.18,23.3,11323
24/02/2026 11:00,22.43,23.3,11360
24/02/2026 10:00,24.54,23.29,11471
24/02/2026 9:00,34.75,23.28,11481
24/02/2026 8:00,48.02,23.27,11441
24/02/2026 7:00,24.98,23.25,11079
24/02/2026 6:00,17.99,23.27,10620
24/02/2026 5:00,16.23,23.3,10475
24/02/2026 4:00,19.24,23.36,10484
24/02/2026 3:00,21.54,23.42,10554
24/02/2026 2:00,21.76,23.49,10569
24/02/2026 1:00,22.9,23.57,10680
24/02/2026 0:00,23.96,23.63,10846
23/02/2026 23:00,37.08,23.69,11142
23/02/2026 22:00,43.08,23.74,11437
23/02/2026 21:00,82.77,23.77,11680
23/02/2026 20:00,96.82,23.76,11771
23/02/2026 19:00,82.35,23.87,11910
23/02/2026 18:00,20.18,24.04,11848
23/02/2026 17:00,12.26,24.26,11710
23/02/2026 16:00,8.2,24.41,11652
23/02/2026 15:00,10.17,24.47,11718
23/02/2026 14:00,13.45,24.51,11747
23/02/2026 13:00,13.65,24.56,11769
23/02/2026 12:00,12.59,24.6,11722
23/02/2026 11:00,8.51,24.64,11765
23/02/2026 10:00,13.89,24.69,11797
23/02/2026 9:00,16.79,24.73,11714
23/02/2026 8:00,22.92,24.77,11606
23/02/2026 7:00,19.77,24.79,11224
23/02/2026 6:00,15.48,24.82,10805
23/02/2026 5:00,15.37,24.85,10576
23/02/2026 4:00,15.47,24.87,10528
23/02/2026 3:00,14.09,24.9,10543
23/02/2026 2:00,15.2,24.92,10612
23/02/2026 1:00,16.15,24.94,10702
23/02/2026 0:00,14.58,24.96,10885
22/02/2026 23:00,14.51,24.99,11149
22/02/2026 22:00,16,25.01,11464
22/02/2026 21:00,17.34,25.04,11699
22/02/2026 20:00,19.58,25.07,11787
22/02/2026 19:00,21.25,25.09,11851
22/02/2026 18:00,18.82,25.11,11718
22/02/2026 17:00,13.07,25.16,11493
22/02/2026 16:00,3.03,25.23,11366
22/02/2026 15:00,0.01,25.29,11367
22/02/2026 14:00,0.01,25.36,11372
22/02/2026 13:00,0.55,25.42,11414
22/02/2026 12:00,4.55,25.48,11401
22/02/2026 11:00,10.07,25.54,11361
22/02/2026 10:00,10.65,25.6,11301
22/02/2026 9:00,13.67,25.68,11251
22/02/2026 8:00,15.73,25.8,11217
22/02/2026 7:00,15.2,25.86,11085
22/02/2026 6:00,14.62,25.9,10878
22/02/2026 5:00,11.88,25.93,10784
22/02/2026 4:00,11.8,25.97,10749
22/02/2026 3:00,13.14,26.01,10753
22/02/2026 2:00,17.38,26.05,10815
22/02/2026 1:00,22.24,26.08,10914
22/02/2026 0:00,23.02,26.11,11072
21/02/2026 23:00,26.39,26.15,11273
21/02/2026 22:00,37.39,26.2,11522
21/02/2026 21:00,40.58,26.23,11693
21/02/2026 20:00,56.5,26.27,11799
21/02/2026 19:00,63.64,26.27,11838
21/02/2026 18:00,67.04,26.26,11721
21/02/2026 17:00,31.01,26.24,11510
21/02/2026 16:00,24.09,26.29,11376
21/02/2026 15:00,24.28,26.31,11348
21/02/2026 14:00,24.69,26.33,11375
21/02/2026 13:00,25.1,26.35,11401
21/02/2026 12:00,25.04,26.38,11462
